"pathway" "pval" "padj" "ES" "NES" "nMoreExtreme" "size" "path_name"
"59" "path:map00040" 0.367112378747017 0.831401563632951 0.635257509027378 1.11068074728693 25999 33 "Pentose and glucuronate interconversions"
"60" "path:map00640" 0.351216983263988 0.819506294282638 0.614501409693679 1.11164598463341 26420 46 "Propanoate metabolism"
"61" "path:map00561" 0.333956060379614 0.803581770288447 0.678006240282336 1.14704422583924 22344 24 "Glycerolipid metabolism"
"62" "path:map00920" 0.308529659986554 0.780563431721014 0.667163774110019 1.1581300671782 21568 31 "Sulfur metabolism"
"63" "path:map00190" 0.272199696879412 0.775394639480391 0.634962108937122 1.16483003353083 21012 53 "Oxidative phosphorylation"
"64" "path:map00630" 0.281961687083779 0.775394639480391 0.657510640741219 1.16926332884439 20576 39 "Glyoxylate and dicarboxylate metabolism"
"65" "path:map00910" 0.314252810173395 0.780563431721014 0.728888818199447 1.17662954951682 19373 15 "Nitrogen metabolism"
"66" "path:map00220" 0.235920982992176 0.756913153766563 0.699295488441499 1.2139075328041 16492 31 "Arginine biosynthesis"
"67" "path:map01240" 0.0928653880775626 0.550048837074794 0.60908731020834 1.23323805507629 8768 200 "Biosynthesis of cofactors"
"68" "path:map00053" 0.220142414559375 0.736998518307471 0.777990478123358 1.25589330354108 13571 15 "Ascorbate and aldarate metabolism"
"69" "path:map02026" 0.191378996541892 0.699884666080844 0.75567644995145 1.2679192908397 12617 22 "Biofilm formation - Escherichia coli"
"70" "path:map00051" 0.135756570851199 0.656785026456949 0.695279886647811 1.27548224103162 10479 53 "Fructose and mannose metabolism"
"71" "path:map00250" 0.1437807624927 0.656785026456949 0.728980962795286 1.28618634634367 10340 36 "Alanine, aspartate and glutamate metabolism"
"72" "path:map00030" 0.14958016850477 0.656785026456949 0.742211164805757 1.28840488574721 10456 31 "Pentose phosphate pathway"
"73" "path:map02025" 0.0919290162955379 0.550048837074794 0.771771390399682 1.34409541688418 6464 32 "Biofilm formation - Pseudomonas aeruginosa"
"74" "path:map00061" 0.0786524143971712 0.550048837074794 0.856810294815588 1.38313043915344 4848 15 "Fatty acid biosynthesis"
"75" "path:map01212" 0.069999685465354 0.550048837074794 0.844926135493686 1.38967185432662 4450 18 "Fatty acid metabolism"
"76" "path:map00130" 0.0552690650973731 0.550048837074794 0.835508437784458 1.40186619021185 3643 22 "Ubiquinone and other terpenoid-quinone biosynthesis"
"77" "path:map04112" 0.0467470114028969 0.550048837074794 0.879016296575753 1.41897711040871 2881 15 "Cell cycle - Caulobacter"
